---,TaskName,TaskProgress,TaskRequired,TaskProgressExtension,TaskRequiredExtension,HasExtension,BoxType,BoxTypeExtension
NewRow,"Get Food","0","0","0","0","False","Food","Mystery Bag"
NewRow_0,"Get Test Tubes","0","0","0","0","False","Test Tube","Mystery Bag"
NewRow_1,"Get Wash Rags","0","0","0","0","False","Wash Rag","Mystery Bag"
NewRow_2,"Get Geiger Counter","0","0","0","0","False","Geiger Counter","Mystery Bag"
NewRow_3,"Get Dosimeter","0","0","0","0","False","Dosimeter","Mystery Bag"
NewRow_4,"Get Seeds","0","0","0","0","False","Seeds","Mystery Bag"
NewRow_5,"Get Microscopes","0","0","0","0","False","Microscope","Mystery Bag"
NewRow_6,"Get Slides","0","0","0","0","False","Slides","Mystery Bag"
NewRow_7,"Get Centrifuge","0","0","0","0","False","Centrifuge","Mystery Bag"
NewRow_8,"Get Petri Dishes","0","0","0","0","False","Petri Dish","Mystery Bag"
NewRow_9,"Get Organic Samples","0","0","0","0","False","Organic Samples","Mystery Bag"
NewRow_10,"Get Solar Cells","0","0","0","0","False","Solar Cell","Mystery Bag"
NewRow_11,"Dispose Trash","0","0","0","0","False","Trash","Mystery Bag"
